Name,Base,Snippet,PopupInfo,x,y
Multi sport Nedroma,0.0,,,-1.7468273,35.0156922
Salle de Reunion du Village,0.0,,,4.4119097,36.515294
Salle de sport Charef Khettab,0.0,,,0.0761419,35.8629316
Salle des fêtes Walimate (El biar),0.0,,,3.034794,36.7718406
Salle omnisports Gherib,0.0,,,2.8776489,33.7951912
Maison de Jeunes,0.0,,,2.8592151,36.5257004
Salle des Fêtes Amira,0.0,,,2.8144172,36.4861157
Maison de Jeunes Mouloud Kacem,0.0,,,6.5630339,36.0410891
Salle des fêtes Rahou,0.0,,,2.7454713,36.6648167
Salle des Fêtes,0.0,,,2.8399735,36.485053
Maison des Jeunes دار الشباب,0.0,,,3.1627984,36.7084716
Salle des fête Gardenia,0.0,,,3.2095582,36.750198
Salle des fêtes Ichbilia,0.0,,,3.1603081,36.7094426
Salle des fêtes,0.0,,,3.0769049,36.744917
Salle des fête myrriam,0.0,,,3.0159753,36.7766798
Salle des fêtes El Faraoula,0.0,,,3.0536524,36.7897196
Salle des fêtes Chiffa,0.0,,,2.740194,36.4606113
Palace Events Salle des fêtes,0.0,,,3.2351663,36.7462079
Salle des fete firdous,0.0,,,3.2123254,36.751499
Salle des fête Faraoula,0.0,,,3.0461271,36.7893935
Salle des fêtes hamoudi,0.0,,,3.8879836,36.3692243
قاعة حفلات,0.0,,,6.5305688,36.2951449
Salle des fêtes El Woroud,0.0,,,2.1633277,36.3116213
Salle des fétes,0.0,,,2.2159636,36.2602953
Salle des fêtes Houari,0.0,,,2.6899227,36.6482276
قاعة المحاضرات مصطفى مكي,0.0,,,1.3199263,35.371803
Salle des fêtes Hamza (Dely Ibrahim),0.0,,,2.9931497,36.7630314
مركز رياضي بلبشير,0.0,,,8.4833469,26.4703711
Salle des fêtes Andalucia,0.0,,,3.0828422,36.7345612
Salle des fêtes Olympique,0.0,,,2.9871575,36.7506593
Salle des fêtes - Restaurent Bois Des Cars,0.0,,,2.9783713,36.7548763
Salle des fêtes Randa,0.0,,,2.9888881,36.7539355
Salle des fêtes Hotel El Mehdi,0.0,,,2.8856234,36.7554143
Salle des fêtes UGTA,0.0,,,3.0649183,36.7536114
Salle des fêtes Meroua,0.0,,,3.085463,36.7091211
Salle des fêtes Bachdjerah,0.0,,,3.1267558,36.7297935
Salle des Fetes Podium Birkhadem,0.0,,,3.0589147,36.7076557
Salle des fêtes N67 Attatba,0.0,,,2.6754328,36.5728682
Salle des fêtes Merwa Blida,0.0,,,2.8142188,36.4856754
Salle des fêtes Al Afrah Réghaïa,0.0,,,3.3490433,36.7555719
Salle des fetes BOUNOUA Ouled Moussa,0.0,,,3.364073,36.6939134
Salle des fêtes l'olivier,0.0,,,3.0832114,36.7351116
Maison de jeunes,0.0,,,0.1498686,34.8614505
Salle des Fêtes,0.0,,,0.155124,34.8458341
Salle des fêtes,0.0,,,7.4338791,36.5061354
Salle OMS - قاعة متعددة الرياضات,0.0,,,7.3454051,35.2984926
Salle des fêtes Le Diamant Bleu Dergana,0.0,,,3.2601414,36.7781086
Salle des Fêtes 20 Août 1958,0.0,,,5.1665918,36.6664049
Mairie,0.0,,,5.6110836,35.5548142
Salle des fêtes,0.0,,,5.615911,35.5508497
Placemark,0.0,,,-0.6240421,35.188441
قاعة حفلات دوماك,0.0,,,3.2600934,34.6553526
Maison de jeunes,0.0,,,3.5941407,36.5628662
Maison des jeunes,0.0,,,2.1815192,36.6034975
Placemark,0.0,,,0.5460513,32.894673
Meliani,0.0,,,-1.7310008,34.8506649
دار الشباب,0.0,,,-0.6339446,35.702655
Salle des fêtes MIMEX,0.0,,,4.0360363,36.6390316
Salle des fêtes Nour el Manar,0.0,,,2.9517538,36.8108188
Salle des fêtes SI AFIF,0.0,,,0.4134331,36.1008886
Salle de sport,0.0,,,2.1255933,36.586339
دار الشباب عين البيضاء,0.0,,,7.3968739,35.7959512
Salle des fêtes Dounia Parc,0.0,,,2.9842941,36.7422173
Placemark,0.0,,,5.3389342,36.166574
Placemark,0.0,,,5.3364129,36.1709826
Salle des Fetes Cherchour,0.0,,,5.3355519,36.1709393
